Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
137,710.281067,985.627502,171.048935,654.230164,902.786133,108.134651,,,,860.386475,1213.772339,433.707611,684.531311,905.493896,112.050308,816.257202,1211.877197,275.731079,,,
138,710.063599,985.992554,170.631607,654.304382,902.758972,107.946793,,,,860.472473,1213.808716,433.518738,684.415771,905.239319,112.403221,816.191162,1211.819580,275.490295,,,
139,709.715759,986.333740,170.370987,653.994202,902.946533,107.878799,,,,860.549561,1213.916382,433.344147,684.280090,904.727051,113.039612,816.034851,1211.791016,275.375732,,,
140,709.405273,986.528992,170.137283,653.658325,902.988037,107.924622,,,,860.494324,1213.964600,433.167480,684.053528,904.436523,113.459793,815.966309,1211.789551,275.229767,,,
141,709.096130,986.727295,169.892075,653.436279,902.937744,107.961517,,,,860.481140,1214.000610,433.077728,683.729126,904.295898,113.494026,815.872192,1211.782349,275.109833,,,
142,708.834045,986.883789,169.628555,653.233337,902.915466,107.879700,,,,860.493591,1214.018677,432.962860,683.506165,904.378479,113.417587,815.823975,1211.721802,274.890198,,,
143,708.594543,986.985229,169.549286,652.942627,902.918579,107.734161,,,,860.307495,1214.056152,432.624207,683.272766,904.226990,113.408943,815.755310,1211.624023,274.762787,,,
144,708.324463,987.032898,169.388077,652.718567,902.918762,107.642822,,,,860.057068,1214.039429,432.408844,683.163940,903.930176,113.566750,815.735229,1211.551514,274.607025,,,
145,708.071533,987.092529,169.429108,652.564087,902.722595,107.658646,,,,859.931213,1214.041016,432.299103,682.930908,904.003235,113.333679,815.744934,1211.612305,274.347046,,,
146,707.994324,986.987793,169.181229,652.676392,902.516052,107.625771,,,,859.763489,1213.950562,432.113678,682.323975,904.209717,112.495743,815.718201,1211.545044,274.163849,,,
147,707.991699,986.886047,169.079437,652.276062,902.372986,107.689598,,,,859.643005,1213.953125,431.977783,682.095947,904.673706,111.675903,815.665161,1211.460205,273.970276,,,
148,707.881104,986.845215,169.006927,651.953857,902.128784,107.856361,,,,859.736877,1213.820801,431.687225,682.097290,904.797546,111.404724,815.692505,1211.312988,273.812469,,,
149,707.809937,986.667908,168.976822,651.890808,901.950073,107.909233,,,,859.500916,1213.690918,431.361694,682.008179,904.565491,111.525909,815.632813,1211.203491,273.687469,,,
